id;title;age_range;area;subarea;location;prep_min;duration_min;materials;short_goal;setup;adult_role;easier;harder;observe;montessori_link;personality_link;source_ids;source_urls;evidence_tags
A001;Kontrasztkártya oldalra fordulással;0-3 hó;Szenzoros és mozgás;látás, nyak-kontroll;benti;1;5;fekete-fehér kártyák vagy nyomtatott formák;Vizuális fókusz, fejfordítás és rövid, minőségi hason töltött idő.;Tedd a kártyát 20-30 cm-re, először középre, majd lassan oldalra.;"Ne taníts, csak kövesd a baba figyelmét; hagyd abba fáradásjelre.";Egyetlen egyszerű minta.;Lassú vízszintes követés, majd két kártya közötti váltás.;Fejfordítás, szemkontaktus, fáradás, túlingerelhetőség.;Mozgás és érzékelés összekapcsolása, előkészített környezet.;"Biztonság és kapcsolódás; a szülő hangja és arca a fő inger.";"LOVEVERY_LOOKER; MOVEMENT_META";"https://lovevery.com/products/the-play-kits-the-looker; https://pmc.ncbi.nlm.nih.gov/articles/PMC5745693/";"szenzoros; nagymozgás"
A002;Lassú mobil figyelése;0-3 hó;Szenzoros és mozgás;vizuális követés;benti;1;5;biztonságos mobil vagy kontrasztos függő tárgy;Fókusz, szemmel követés és nyugodt éberség támogatása.;Pelenkázónál vagy játszószőnyeg fölött lassan mozgó, egyszerű formát tegyél szemmagasságba.;"Maradj csendes háttérként; ha elfordul, tarts szünetet.";Fix tárgy, mozgás nélkül.;Nagyon lassú, rövid ívű mozgatás.;Meddig képes nyugodtan figyelni, követi-e a mozgást.;Rend és izolált inger: egy vizuális tulajdonságra fókuszálás.;A baba önszabályozását tiszteletben tartja.;LOVEVERY_LOOKER;https://lovevery.com/products/the-play-kits-the-looker;szenzoros
A003;Csörgő hangjának keresése;0-3 hó;Szenzoros és mozgás;hallás, orientáció;benti;1;5;puha csörgő vagy rattle;Hangforrás felé orientálás, ok-okozat első tapasztalatai.;Finoman szólaltasd meg a csörgőt oldalról, majd állj meg.;"Ne ismételd túl sokszor; várd meg, hogy keresse vagy nyugodtan maradjon.";Csak egy oldalról, röviden.;Váltott oldal, majd látótérbe hozás.;Fejfordítás, megnyugvás vagy túlingerlés.;Mozgás-kogníció korai kapcsolata.;Biztonságos felnőtt jelenlét, ritmus és kiszámíthatóság.;LOVEVERY_LOOKER;https://lovevery.com/products/the-play-kits-the-looker;"szenzoros; ok-okozat"
A004;Kézfelfedező kesztyű vagy kendő;0-3 hó;Finommotorika;testtudat;benti;1;5;kontrasztos baba-kesztyű vagy könnyű kendő;Kéznézés, kéz-száj koordináció és saját test felfedezése.;Rövid időre adj kontrasztos kesztyűt vagy tegyél könnyű kendőt a kezéhez.;"Figyeld, ne irányítsd; biztonság miatt maradj mellette.";Csupasz kéz figyelése.;Kendő megfogása hason vagy háton.;Nézi-e a kezét, szájhoz viszi-e, megfogja-e a textilt.;Önálló felfedezés, egy ingerre redukált környezet.;Éntapasztalat első csírái: „ez az én kezem”.;LOVEVERY_LOOKER;https://lovevery.com/products/the-play-kits-the-looker;"finommotorika; szenzoros"
A005;Arcnézés és utánzó mimika;0-3 hó;Nyelv és kapcsolat;szociális figyelem;benti/kinti;0;5;szülő arca;Korai társas figyelem, hangolódás és érzelmi biztonság.;Tarts 20-30 cm távolságot, mosolyogj, lassan nyújtsd ki a nyelved vagy nyisd a szádat.;"Várj hosszabb szüneteket; a baba válaszideje lassú lehet.";Csak arc és hang.;Rövid hangutánzás: „aaa”, „mmm”.;Szemkontaktus, mosoly, hangadás, elfordulás.;Felnőtt interakciós stílus: érzékeny, nem túlkontrolláló válaszadás.;Biztonságos kötődés és ko-reguláció.;PARENTING_META;https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1003602;"személyiség; nyelv"
A006;Hason fekvés mellkason;0-3 hó;Nagymozgás;nyak, törzs;benti;0;5;szülő mellkasa, matrac;Hason töltött idő kellemes, kapcsolódó formában.;Feküdj félig hátra, baba a mellkasodon hason, beszélj hozzá halkan.;"A cél nem teljesítmény, hanem pozitív élmény; rövid ismétlések.";30-60 másodperc.;Játszószőnyegre átvezetés kontrasztkártyával.;Emeli-e a fejét, mennyire tolerálja.;Mozgás és tanulás egysége.;Biztonság, testközelség és önszabályozás támogatása.;MOVEMENT_META;https://pmc.ncbi.nlm.nih.gov/articles/PMC5745693/;nagymozgás
A007;Textúrás kendők felfedezése;0-3 hó;Szenzoros;tapintás;benti;1;5;2-3 különböző textúrájú kendő;Finom tapintási különbségek, kéz és bőr érzékelése.;Egyenként érintsd a baba kezéhez/lábához a textúrákat, nézd a reakciót.;Ne nevezd meg sokat, inkább figyelj és kommentálj egyszerűen.;Egy puha textil.;Két textúra váltása, később megfogás.;Melyiknél nyugszik meg vagy élénkül fel.;Sensorial: izolált érzékszervi minőség.;Érzékszervi önszabályozás és preferenciák kezdete.;PARENTS_SUBS2;https://www.parents.com/best-subscription-boxes-for-kids-8761973;szenzoros
A008;Dal ugyanabban a rutinban;0-3 hó;Nyelv és kapcsolat;ritmus, rutin;benti/kinti;0;5;saját hang;Ritmus, biztonságérzet és rutinjelzés.;Válassz egy rövid dalt fürdéshez vagy öltözéshez, mindig hasonlóan énekeld.;A te hangod fontosabb, mint a zene minősége.;Egyetlen dal.;Rövid gesztus hozzáadása.;Nyugszik-e, előrejelzi-e a rutin következő lépését.;Rend és ismétlés mint tanulási támasz.;Kiszámíthatóság és biztonság.;PARENTING_META;https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1003602;"nyelv; személyiség"
A009;Oldalfekvéses játék kendővel;0-3 hó;Nagymozgás;középvonal, vállöv;benti;1;5;összetekert törölköző, kendő;Középvonalas kézhasználat és kényelmes pozícióváltás.;Támogasd meg oldalfekvésben, tegyél könnyű kendőt a kezei elé.;Csak annyira segíts, hogy stabil legyen, ne mozgasd helyette.;Oldalfekvés rövid ideig.;Kendő megfogása, szájhoz vitele.;Kezek találkoznak-e középen, fordulna-e vissza.;Mozgással tanulás.;Testhatárok, biztonságos felfedezés.;MOVEMENT_META;https://pmc.ncbi.nlm.nih.gov/articles/PMC5745693/;"nagymozgás; finommotorika"
A010;Kinti fény-árnyék figyelés;0-3 hó;Szenzoros;látás, természet;kinti;0;10;fa árnyéka, babakocsi;Lassú, természetes vizuális ingerek megfigyelése.;Álljatok fa alá, figyeld vele a lomb mozgását és fény-árnyék mintát.;"Ne direkt napfénybe; csak rövid, nyugodt figyelés.";Árnyékban fekvés.;Lassú kommentálás: „mozog a levél”.;Melyik természetes inger köti le.;Valós környezet, nem túlstimuláló inger.;Nyugodt közös figyelem.;PARENTS_SUBS2;https://www.parents.com/best-subscription-boxes-for-kids-8761973;"szenzoros; természet"
A011;Rövid babamasszázs testrésznévvel;0-3 hó;Személyiség és testtudat;ko-reguláció;benti;0;5;meleg kéz, olaj nem szükséges;Testtudat, szülői ráhangolódás és megnyugvás.;Fürdés után 2-3 percig finoman érintsd: „ez a lábad, ez a kezed”.;"Figyeld a jelzéseit; ha feszül, abbahagyod.";Csak kéz és láb.;Rövid dal vagy mondóka hozzáadása.;Ellazulás, szemkontaktus, elfordulás.;Gondoskodás valós rutinban.;Testi biztonság, ko-reguláció.;PARENTING_META;https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1003602;"személyiség; nyelv"
A012;Hasi idő könyvvel;0-3 hó;Nyelv és mozgás;könyv, hason fekvés;benti;1;5;kemény lapos fekete-fehér könyv;Korai könyvkapcsolat és nyaktartás.;Tegyél kontrasztos könyvet hason fekve elé, csak 1-2 oldalt mutass.;Rövid mondatokat mondj, ne olvass hosszú szöveget.;Egyetlen kép.;Képváltás, oldalra helyezés.;Tartja-e a fejét, fixálja-e a képet.;Kéz/tekintet és tanulás kapcsolata.;Közös figyelem első formái.;"LOVEVERY_LOOKER; BOOK_READING_META";"https://lovevery.com/products/the-play-kits-the-looker; https://www.mpi.nl/publications/item3165681/impact-shared-book-reading-childrens-language-skills-meta-analysis";"nyelv; nagymozgás"
A013;Elérhető csörgő oldalról;3-6 hó;Finommotorika;nyúlás, fogás;benti;1;10;csörgő vagy könnyű fa gyűrű;Nyúlás, fogás és testközép használata.;Tedd a tárgyat oldalra, de elérhető távolságba, várd meg a kezdeményezést.;"Csak akkor segíts, ha frusztrációba fordul; ne add rögtön a kezébe.";Kézbe adod röviden.;Kicsit távolabb, két oldal váltása.;Nyúlás, kézváltás, próbálkozás.;Önálló manipuláció és kontroll.;Énhatékonyság: „el tudom érni”.;"LOVEVERY_LOOKER; MOVEMENT_META";"https://lovevery.com/products/the-play-kits-the-looker; https://pmc.ncbi.nlm.nih.gov/articles/PMC5745693/";finommotorika
A014;Kendő kihúzása dobozból;3-6 hó;Finommotorika;tárgyállandóság előkészítése;benti;2;10;papírdoboz, kendők;Húzás, ok-okozat, ismétlés öröme.;Tegyél egy kendővéget kilógva a dobozba, hagyd húzni.;Csak egyszer mutasd meg, aztán várj.;Egy kendő, nagy kilógó résszel.;Több kendő, kisebb kilógó rész.;Húz-e, ismétli-e, meglepődik-e.;Ismétlés és koncentráció.;Önálló cselekvés és sikerélmény.;"LOVEVERY_BABBLER; GUIDED_PLAY_META";"https://lovevery.com/products/the-play-kits-the-babbler; https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/cdev.13730";"finommotorika; ok-okozat"
A015;Guruló labda követése hason;3-6 hó;Nagymozgás;hason támasz, vizuális követés;benti;1;10;puha labda;Hason támasz és szem-kéz koordináció.;Hason fekve lassan guríts labdát előtte oldalirányban.;"A labda legyen lassú; ne csalogasd erőltetve.";Labda fixen előtte.;Kisebb gurítás előre-hátra.;Követi-e, nyúl-e, támaszkodik-e.;Mozgásban lévő tárggyal tanulás.;Kíváncsiság és kitartás.;MOVEMENT_META;https://pmc.ncbi.nlm.nih.gov/articles/PMC5745693/;"nagymozgás; szenzoros"
