id;title;stage;age_min_months;meal_type;texture;diet;prep_min;cook_min;ingredients;steps;nutrition_focus;iron_source;protein_source;allergens;fruit_veg;added_sugar;added_salt;texture_notes;safety_notes;family_adaptation;freezer_ok;batch_ok;evidence_tags;source_ids;source_urls
R001;Vöröslencsés sütőtökkrém;6–8 hó;6;ebéd/vacsora;püré vagy tört;vegán;5;20;40 g vöröslencse | 120 g sütőtök | 1 tk repce- vagy olívaolaj | víz;Öblítsd le a lencsét. A sütőtököt kockázd fel, majd a lencsével együtt főzd teljesen puhára. Törd vagy turmixold a gyermek aktuális textúraszintjére, végül keverd bele az olajat.;Hüvelyesből származó vas, fehérje és energiadúsítás olajjal.;vöröslencse;vöröslencse;nincs;sütőtök;nincs;nincs;"Kezdetben sűrű, kanálról le nem folyó püré; később villával durvábban törve.";Mindig ülve kínáld. Ha túl sűrű és tapadós, hígítsd kevés vízzel vagy anyatejjel/tápszerrel közvetlenül tálalás előtt.;A családi adaghoz mehet fokhagyma, kömény, citrom és só csak a gyermek adagjának kivétele után.;igen;igen;"vasfókusz; hüvelyes; gyors";"WHO_CF_2023;WHO_PLANT_REVIEW;ESPGHAN_CF_2017";"https://www.who.int/publications/i/item/9789240081864;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-fruits-and-vegetables-and-nuts-pulses-and-seeds.pdf?sfvrsn=39939e59_3;https://pubmed.ncbi.nlm.nih.gov/28027215/"
R002;Marhahúsos édesburgonya-püré;6–8 hó;6;ebéd/vacsora;püré vagy tört;mindenevő;8;25;50 g sovány darált marhahús | 120 g édesburgonya | 40 g sárgarépa | 1 tk olaj | víz;A zöldségeket főzd puhára. A húst kevés vízzel teljesen süsd/főzd át, majd a zöldségekkel együtt törd vagy turmixold. Az olajat a végén add hozzá.;Jól hasznosuló hemvas, fehérje és béta-karotin.;marhahús;marhahús;nincs;édesburgonya, sárgarépa;nincs;nincs;"A hús ne maradjon szálas vagy száraz; kezdetben simább, később finoman szemcsés állag.";A hús teljesen átsült legyen. A kész étel ne legyen száraz, morzsálódó vagy nagy darabos.;"A családi változatból készülhet paradicsomos-római köményes ragu; a gyermek adagját sózás előtt vedd ki.";igen;igen;"vasfókusz; hús; fagyasztható";"WHO_CF_2023;WHO_ASF_REVIEW;ESPGHAN_CF_2017";"https://www.who.int/publications/i/item/9789240081864;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-animal-source-foods.pdf?sfvrsn=de55e4b7_3;https://pubmed.ncbi.nlm.nih.gov/28027215/"
R003;Csirkés brokkoli-burgonya krém;6–8 hó;6;ebéd/vacsora;püré vagy tört;mindenevő;8;22;50 g csirkemell vagy csirkecombfilé | 100 g burgonya | 60 g brokkoli | 1 tk olaj | víz;A húst és a burgonyát főzd teljesen puhára, a brokkolit az utolsó percekben add hozzá. Törd össze, és olajjal állítsd be a kívánt állagot.;Fehérje, vas és C-vitaminban gazdag zöldség kombinációja.;csirkehús;csirkehús;nincs;brokkoli, burgonya;nincs;nincs;A brokkoli szára is használható, ha teljesen puha és finomra tört.;"A csirkehús ne maradjon rostos; csont- és porcdarab ne kerüljön az ételbe.";A családi adaghoz joghurtos-fokhagymás szósz vagy fűszernövény adható, sózás később.;igen;igen;"fehérje; zöldség; batch";"WHO_CF_2023;WHO_ASF_REVIEW;WHO_IYCF";"https://www.who.int/publications/i/item/9789240081864;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-animal-source-foods.pdf?sfvrsn=de55e4b7_3;https://www.who.int/news-room/fact-sheets/detail/infant-and-young-child-feeding"
R004;Tojásos zabkása körtével;6–8 hó;6;reggeli;sűrű kása;vegetáriánus;3;10;25 g finom zabpehely | 120 ml víz vagy elkészített tápszer/anyatej utólag | 1 teljes tojás | 50 g érett körte;A zabot vízben főzd puhára. A tojást külön főzd keményre vagy a kásába keverve teljesen hőkezeld. A körtét reszeld vagy párold, majd keverd össze.;"Tojásból származó fehérje, vas és kolin; zab és gyümölcs.";tojás, zab;tojás;"tojás; glutén";körte;nincs;nincs;"Sűrű, kanálon maradó állag; önetető kanálhoz is megfelelő.";A tojás teljesen hőkezelt legyen. Első allergénbevezetésnél kis mennyiséggel, délelőtt és megfigyelhető időszakban kínáld.;A családi adagba fahéj, vanília, diófélék őrleménye csak életkornak megfelelően és biztonságos formában kerülhet.;nem;nem;"allergén; tojás; reggeli; vasfókusz";"WHO_CF_2023;ESPGHAN_CF_2017;WHO_RF_REVIEW";"https://www.who.int/publications/i/item/9789240081864;https://pubmed.ncbi.nlm.nih.gov/28027215/;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3"
R005;Lazacos burgonya-borsó krém;6–8 hó;6;ebéd/vacsora;püré vagy tört;mindenevő;8;20;45 g lazacfilé | 100 g burgonya | 50 g zöldborsó | 1 tk olaj | víz;A burgonyát és borsót főzd puhára. A lazacot gőzöld vagy süsd át teljesen, majd gondosan ellenőrizd a szálkákat. Törd össze együtt.;Fehérje, vas, jód és omega-3 zsírsavak.;lazac, borsó;lazac;hal;zöldborsó, burgonya;nincs;nincs;"Kezdetben simább krém; később a borsót villával csak részben törd.";A hal legyen teljesen átsült és szálkamentes. Első halbevezetésnél kis adaggal kezdj.;"A családi adaghoz kapor, citrom és joghurtos szósz adható; a gyermek adagját előbb vedd ki.";igen;igen;"hal; omega-3; vasfókusz; allergén";"WHO_ASF_REVIEW;ESPGHAN_CF_2017;WHO_CF_2023";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-animal-source-foods.pdf?sfvrsn=de55e4b7_3;https://pubmed.ncbi.nlm.nih.gov/28027215/;https://www.who.int/publications/i/item/9789240081864"
R006;Fehérbabos cukkini krém;6–8 hó;6;ebéd/vacsora;tört vagy püré;vegán;5;15;100 g főtt, sótlan fehérbab | 100 g cukkini | 1 tk olívaolaj | citromlé néhány csepp;A cukkinit párold puhára. A babot öblítsd át, majd a cukkinivel és olajjal törd simára. Kevés vízzel állítsd be a sűrűséget.;"Növényi fehérje, vas és rost; C-vitaminos kiegészítés.";fehérbab;fehérbab;nincs;cukkini;nincs;nincs;"Teljesen sima vagy finoman tört; a bab héja ne maradjon nagy, száraz darabokban.";Konzervbab csak sótlan vagy alaposan leöblített változatban. Puffadás esetén kisebb adaggal kezdj.;A családnak fokhagymás-citromos mártogatós lehet, kenyérrel és sült zöldséggel.;igen;igen;"hüvelyes; vasfókusz; vegán";"WHO_PLANT_REVIEW;WHO_CF_2023;WHO_RF_REVIEW";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-fruits-and-vegetables-and-nuts-pulses-and-seeds.pdf?sfvrsn=39939e59_3;https://www.who.int/publications/i/item/9789240081864;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3"
R007;Köleskása szilvával és joghurttal;6–8 hó;6;reggeli/uzsonna;sűrű kása;vegetáriánus;5;18;30 g kölespehely vagy puhára főtt köles | 80 g szilva | 2 ek natúr, pasztőrözött joghurt | víz;A kölest főzd nagyon puhára. A szilvát párold, magját és héját szükség szerint távolítsd el. Hűlés után keverd bele a joghurtot.;Gabonafélék, gyümölcs, tejtermék és változatos ízek.;köles;joghurt;tej;szilva;nincs;nincs;Kezdetben simább kása, később apró puha szemcsékkel.;Csak pasztőrözött tejterméket használj. A szilvamagot maradéktalanul távolítsd el.;A családi adagba fahéj, pirított magőrlemény és több gyümölcs kerülhet.;nem;igen;"reggeli; tej; gyümölcs";"WHO_CF_2023;WHO_IYCF;WHO_PLANT_REVIEW";"https://www.who.int/publications/i/item/9789240081864;https://www.who.int/news-room/fact-sheets/detail/infant-and-young-child-feeding;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-fruits-and-vegetables-and-nuts-pulses-and-seeds.pdf?sfvrsn=39939e59_3"
R008;Tahinis csicseriborsó-sütőtökkrém;6–8 hó;6;ebéd/uzsonna;sima krém;vegán;5;15;80 g főtt csicseriborsó | 100 g sült sütőtök | 1 tk tahini | víz | néhány csepp citrom;A hozzávalókat turmixold krémesre. A tahinit vízzel hígítsd, hogy ne legyen tapadós.;Növényi fehérje, vas, energia és szezámallergén korai, biztonságos formában.;csicseriborsó, tahini;csicseriborsó;szezám;sütőtök;nincs;nincs;"Lágy, könnyen lecsúszó krém; ne legyen sűrű, száraz vagy ragacsos.";Első szezámbevezetésnél kis mennyiséggel kezdj. A tahinit mindig hígítva add.;"Felnőtteknek klasszikus hummusz fűszerekkel; a gyermek adagját sózás előtt különítsd el.";igen;igen;"allergén; szezám; hüvelyes; vasfókusz";"WHO_PLANT_REVIEW;ESPGHAN_CF_2017;WHO_RF_REVIEW";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-fruits-and-vegetables-and-nuts-pulses-and-seeds.pdf?sfvrsn=39939e59_3;https://pubmed.ncbi.nlm.nih.gov/28027215/;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3"
R009;Mogyoróvajas banános zabkrém;6–8 hó;6;reggeli/uzsonna;sűrű krém;vegetáriánus;3;7;20 g finom zabpehely | 100 ml víz | 40 g banán | 1/4–1/2 tk sima, 100%-os földimogyoróvaj;A zabot főzd puhára, a banánt törd bele. A mogyoróvajat külön kevés meleg vízzel hígítsd, majd keverd a kásához.;Energia, fehérje és földimogyoró-allergén biztonságos állagban.;zab, földimogyoró;földimogyoró;"földimogyoró; glutén";banán;nincs;nincs;"Krémes, nem ragadós; előtöltött kanálról is adható.";Egész vagy darabos mogyorót tilos adni. Súlyos ekcéma, ismert allergia vagy korábbi reakció esetén előzetes orvosi egyeztetés szükséges.;"A családi adagba fahéj és több gyümölcs kerülhet; hozzáadott cukor nem szükséges.";nem;nem;"allergén; földimogyoró; reggeli; gyors";"NIAID_PEANUT_2017;LEAP_2015;WHO_RF_REVIEW";"https://pmc.ncbi.nlm.nih.gov/articles/PMC5217645/;https://pubmed.ncbi.nlm.nih.gov/25705822/;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3"
R010;Avokádós tojáskrém puha kenyércsíkkal;6–8 hó;7;reggeli/uzsonna;krém + puha falat;vegetáriánus;8;10;1 keményre főtt tojás | 1/2 érett avokádó | kevés natúr joghurt vagy víz | puha, alacsony sótartalmú kenyér;A tojást és avokádót törd teljesen simára, szükség szerint hígítsd. Vékonyan kend puha, ujjnyi kenyércsíkra vagy kínáld kanálról.;Fehérje, vas, kolin és energiadús zsiradék.;tojás;tojás;"tojás; tej opcionálisan; glutén";avokádó;nincs;nincs;"A kenyér legyen puha, ne száraz vagy kemény héjú; a krém ne legyen ragadós.";A tojás teljesen hőkezelt legyen. Kenyérből alacsony sótartalmút válassz, és a falat méretét a gyermek készségéhez igazítsd.;A családnak citrommal, borssal, zöldfűszerrel szendvicskrémként tálalható.;nem;nem;"tojás; önetetés; allergén";"ESPGHAN_CF_2017;WHO_RF_REVIEW;BLISS_PROTOCOL";"https://pubmed.ncbi.nlm.nih.gov/28027215/;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3;https://bmcpediatr.biomedcentral.com/articles/10.1186/s12887-015-0466-8"
