id;title;type;url;note
LOVEVERY_ALL;Lovevery Play Kits overview;toy_subscription_official;https://lovevery.com/products/the-play-kits;"Age-organized kits 0-5; used as inspiration for stage-based toy/activity logic, not as purchase recommendation."
LOVEVERY_LOOKER;Lovevery Looker Play Kit (0-12 weeks);toy_subscription_official;https://lovevery.com/products/the-play-kits-the-looker;High-contrast cards, mobile, rattle, tummy-time visual materials.
LOVEVERY_BABBLER;Lovevery Babbler Play Kit (13-15 months);toy_subscription_official;https://lovevery.com/products/the-play-kits-the-babbler;Ball run, posting/coin bank, stacker, puzzle, routine book.
LOVEVERY_ADVENTURER;Lovevery Adventurer Play Kit (16-18 months);toy_subscription_official;https://lovevery.com/products/the-play-kits-the-adventurer;Ramp, pull puzzle, threadable beads, pegboard, empathy book.
LOVEVERY_HELPER;Lovevery Helper Play Kit (25-27 months);toy_subscription_official;https://lovevery.com/products/the-play-kits-the-helper;Practical life sink, color matching, routine cards, simple baking book.
LOVEVERY_OBSERVER;Lovevery Observer Play Kit (37-39 months);toy_subscription_official;https://lovevery.com/products/the-play-kits-the-observer;Weather board, modular playhouse, emotion dolls/books, routine ownership.
LOVEVERY_CONNECTOR;Lovevery Connector Play Kit (49-51 months);toy_subscription_official;https://lovevery.com/products/the-play-kits-the-connector;Microscope, modular village, helper board, perspective-taking and flexible thinking.
KIWICO_PANDA;KiwiCo Panda Crate official page;toy_subscription_official;https://www.kiwico.com/panda;"0-3 developmental crates; age-appropriate toys and caregiver tips."
PARENTS_SUBS;Parents.com review of toy subscription boxes;external_review;https://www.parents.com/best-toy-subscription-box-8758798;External comparison of KiwiCo, Lovevery, Lalo and other boxes.
PARENTS_SUBS2;Parents.com subscription boxes for kids;external_review;https://www.parents.com/best-subscription-boxes-for-kids-8761973;Selection criteria: age fit, longevity, educational value, durability.
MONTESSORI_ACADEMY;Montessori Academy curriculum/material areas;montessori_curriculum;https://montessoriacademy.com.au/montessori-education/montessori-learning-materials/;Practical Life, Sensorial, Mathematics, Language, Cultural Studies.
AMS_CORE;American Montessori Society Core Materials and Activities for Early Childhood Programs;montessori_curriculum;https://amshq.org/wp-content/uploads/2025/02/EC-Core-Materials-2020.pdf;Core practical life, sensorial, language, math, culture materials ages 2.5-6.
LILLARD_PRIMARY;Lillard: What Belongs in a Montessori Primary Classroom?;montessori_research;https://montessori-science.org/Lillard_montessori_primary_classroom_survey_AMI_AMS_teacher_trainers.pdf;Teacher-trainer survey on necessary/desirable Montessori primary classroom materials.
LILLARD_BOOK;Lillard: Montessori – The Science Behind the Genius;uploaded_book;local PDF uploaded in ChatGPT conversation;Montessori principles: movement, choice, executive function, interest, meaningful context, adult interaction, order.
SELF_DRIVEN;Stixrud & Johnson: The Self-Driven Child;uploaded_book;local PDF uploaded in ChatGPT conversation;Used as broad parenting lens for autonomy/control, not as primary peer-reviewed evidence.
GUIDED_PLAY_META;Skene et al. 2022 guided play meta-analysis;peer_reviewed;https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/cdev.13730;Guided play as a bridge between free play and direct instruction.
DIAMOND_EF;Diamond 2013 executive functions review;peer_reviewed;https://www.annualreviews.org/content/journals/10.1146/annurev-psych-113011-143750;Executive functions: inhibitory control, working memory, cognitive flexibility.
HOME_MATH;Daucourt et al. home math environment meta-analysis;peer_reviewed;https://pmc.ncbi.nlm.nih.gov/articles/PMC8634776/;Home mathematical interactions and early math outcomes.
SPATIAL_META;Yang et al. 2020 spatial skills training meta-analysis;peer_reviewed;https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2020.01938/full;Spatial skill interventions in children 0-8.
BOOK_READING_META;Noble et al. 2019 shared book reading meta-analysis;peer_reviewed;https://www.mpi.nl/publications/item3165681/impact-shared-book-reading-childrens-language-skills-meta-analysis;Shared book reading and language skills.
MOVEMENT_META;Zeng et al. 2017 physical activity in preschoolers review;peer_reviewed;https://pmc.ncbi.nlm.nih.gov/articles/PMC5745693/;Physical activity and motor/cognitive development.
PARENTING_META;Jeong et al. 2021 parenting interventions meta-analysis;peer_reviewed;https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1003602;Responsive parenting interventions and developmental outcomes.
MONTESSORI_METHOD;Maria Montessori: The Montessori Method;uploaded_book;local EPUB uploaded in ChatGPT conversation;Primary/Children’s House basis: liberty within a prepared environment, practical life, sensorial materials, silence, movement, writing/reading and early arithmetic.
MONTESSORI_ELEMENTARY;Maria Montessori: The Montessori Elementary Material / Advanced Montessori Method II;uploaded_book;local PDF uploaded in ChatGPT conversation;"Elementary sequence for grammar, reading, arithmetic, geometry and drawing; used mainly as a 5-6+ orientation and for preparatory home activities."
CUSHMAN_BOOK;Charlotte Cushman: Montessori – Why It Matters for Your Child’s Success and Happiness;uploaded_book;local MOBI uploaded in ChatGPT conversation;Parent-facing Montessori interpretation: practical life, sensorial, three-period lesson, nomenclature, silence, choice making, self-esteem, discipline, rewards and home support.
SELF_DETERMINATION;Self-Determination Theory background for autonomy, competence, relatedness;peer_reviewed_framework;https://selfdeterminationtheory.org/theory/;"Used as background lens for autonomy-supportive environments; complements existing peer-reviewed parenting and motivation sources."
