age,headline,what,adult,activity_focus,source_ids
0–3 hó,Ko-reguláció és biztonság: a „személyiség” még főleg temperamentum és állapot-szabályozás formájában látszik.,"A baba ébrenléti ablakai rövidek. A legfontosabb fejlődési feladat a biztonságos, ismétlődő gondozási ritmus, a testközeli megnyugvás és a gondozóval való oda-vissza kapcsolódás.","Gyors, meleg válasz a jelzésekre; nem önállóságot tanítunk, hanem szabályozási biztonságot adunk.","arc, hang, ritmus, lassú gondozási narráció, rövid hason fekvés",S12; S21; S22; S23
3–6 hó,"Ébredő hatásérzés: „ha jelzek, történik valami”, „ha nyúlok, elérem”.","A baba egyre aktívabban vesz részt a kapcsolódásban: mosoly, hangadás, nyúlás, követés, ismétlés. Megjelenik az első hatásérzés és szándékosabb cselekvés.","Kövesd a kezdeményezéseit; kínálj kevés, jól látható választási helyzetet.","nyúlás, gurulás, két tárgy közötti választás, hangutánzás",S11; S12; S22; S26
6–9 hó,"Biztonságos bázisból felfedezés: idegenfélelem, szeparációs reakciók és célirányos mozgás erősödhetnek.","A kötődési személyek jelentősége látványosabbá válik. A baba a felnőtt arcáról is olvassa, hogy mi biztonságos. A személyiség még nem címkézhető, de temperamentumbeli különbségek egyre jobban látszanak.","Legyél „visszatérési pont”: engedj felfedezni, de légy elérhető.","kukucs, tárgyállandóság, kúszás/mászás, közös figyelem",S20; S22; S23; S12
9–12 hó,"Szociális referencia és utánzás: a gyerek egyre jobban tanulja, hogyan reagálunk a világra.","A gesztusok, mutatás, közös figyelem és utánzás alapozzák a nyelvet és a társas megértést. A frusztráció nőhet, mert a célok gyorsabban fejlődnek, mint a kivitelezés.","Ne csak tiltás legyen: mutasd meg, mit lehet csinálni. Nevezd meg röviden az érzéseket és szándékokat.","mutatás, pakolás, egyszerű utánzás, „add ide–visszaadom” körök",S12; S13; S21; S27
12–18 hó,"Autonómia kezdete: mozgás, akarat, „én csinálom” előkészülése.","A járás és tárgyhasználat nagy szabadságot ad, de az önszabályozás még gyenge. A személyiségfejlődésben fontos, hogy a felfedezést ne felesleges kontroll, hanem biztonságos keretek tartsák.","Adj valódi részvételt: házimunka, pakolás, választás két elfogadható opcióból.","practical life, rövid feladatok, pakolás, érzelemnévadás",S1; S12; S21; S22; S26
18–24 hó,"Erősödő én-élmény és akarat: tantrumok, választási igény, birtoklás és utánzás természetes.","A gyerek már sokat ért, de még kevés eszköze van az érzelmek szabályozására. A személyiségfejlődésben a kontrollérzés, kompetencia és biztonság egyensúlya kulcsfontosságú.","Tarts kevés, stabil szabályt; a konfliktusban előbb szabályozz, utána taníts.","választás, segítő szerepek, várakozási játék, érzelmek megnevezése",S21; S22; S24; S26; S31
2–3 év,"Önállóság és határok: „én”, „enyém”, „nem” – ezek fejlődési jelenségek, nem rosszindulat.","A gyerek énképe, választási igénye és kompetenciaérzése gyorsan nő. A társas játék még sokszor párhuzamos, de az utánzás, egyszerű szerepjáték és rövid kooperáció erősödik.","Keretezett választás, előre jelezhető rutinok, érzelmi coaching, következetes határok.","turn-taking, öltözés, egyszerű szerepjáték, érzelmi kártyák/tükör",S20; S21; S22; S24; S25; S26
3–4 év,"Kezdeményezés, szerepek és első nézőpontváltás: a gyerek már próbálja megérteni, más mit akar vagy érez.","Fejlődik az érzelemértés, a szabálykövetés és az egyszerű perspektívaváltás. A személyiségfejlődés szempontjából sokat számít, hogy lehet-e kezdeményezni és hibázni biztonságos keretben.","Több közös projekt, több szókincs érzésekre/vágyakra, kevesebb teljesítménykényszer.","szerepjáték, szabályos társas, történetmesélés, „mit gondolhat?” játékok",S24; S25; S27; S11; S10
4–5 év,"Szabályok, igazságosság, kitartás és belső motiváció: a társas világ egyre fontosabb.","A gyerek sokkal jobban érti a szabályokat és mások nézőpontját, de még könnyen elárasztják az érzelmek. A személyiség fejlődése a kompetenciaérzésen, választáson és kapcsolati biztonságon keresztül támogatható.","Adj feladatot, aminek valódi értelme van; dicsérd a stratégiát és erőfeszítést, ne címkézd a gyereket.","projektek, társasjátékok, családi döntési kártyák, jóvátétel",S24; S25; S26; S10; S11; S31
5–6 év,"Kompetencia, önértékelés és iskolára hangolódás: az önirányítás nem magára hagyás, hanem fokozatos felelősségadás.","Erősödik a célkövetés, szabályértés, önértékelés és kortárskapcsolati igény. A gyakorlati tudástár célja nem az iskolásítás, hanem az önállóság, figyelem, társas rugalmasság és kíváncsiság támogatása.",Vonjátok be tervezésbe és értékelésbe: „Mi volt a terved? Mi működött? Mit próbálnál másképp?”,"saját projektek, probléma-megoldás, hosszabb társasjáték, egyszerű felelősségek",S10; S11; S24; S25; S26; S28
