id,age,domain,title,place,prep_time,materials,intro,adult_role,easier,harder,montessori,source_ids
A071,0–3 hó,Kapcsolódás/nyelv,Gondozás közbeni lassú beszélgetés,benti,0 perc,nincs,"Pelenkázás, öltözés, fürdés közben rövid, valós mondatokkal narráld, amit csinálsz.","Várj a baba reakcióira: tekintet, hang, mozdulat. Nem kikérdezés, hanem oda-vissza ritmus.",csak hang és mosoly,"rövid dal, ismétlődő rutinmondatok","responsive parenting, jelentésteli kontextus",S12; S13
A072,0–3 hó,Nagymozgás,Éber hason fekvés nagyon rövid szakaszokban,benti,1 perc,"szőnyeg, vékony takaró","Naponta több rövid próbálkozás, az arcod vagy játék legyen előtte.","A cél nem teljesítmény, hanem kényelmes ismerkedés a testhelyzettel; fáradásnál vedd fel.",mellkason hason fekvés,"szőnyegen 1-2 perc, később több rövid etap","mozgás-kogníció, testtapasztalat",S9; S19
A073,0–3 hó,Szenzoros/figyelem,Kontrasztos kép vagy arc követése,benti,1 perc,kontrasztos kártya vagy szülő arca,"Tartsd 20-30 cm-re, lassan mozgasd oldalra, röviden.","Figyeld, mikor elég; a túl sok inger helyett kevés, ismétlődő inger.",csak arc,lassú oldalirányú követés,"rend, kevés inger, érdeklődés",S11; S12
A074,0–3 hó,Zene/ritmus,Rövid ringatós dal ugyanazzal a dallammal,benti,0 perc,nincs,"Válassz 1-2 egyszerű altató vagy gondozási dalt, ismételd rendszeresen.",A kiszámíthatóság és ritmus a biztonságot és közös figyelmet segíti.,halkan dúdolás,ritmusos taps a saját kezeddel/lábaddal,"rend, ismétlés, kapcsolat",S12; S11
A075,0–3 hó,Szenzoros/nyelv,"Érintés megnevezéssel: kéz, láb, has",benti,0 perc,nincs,"Öltözés közben lassan nevezd meg a testrészeket, finom érintéssel.","Nem kell tanítani; ismétlődő, nyugodt kapcsolat és szókincs-expozíció.",csak 2 testrész,dalba kötve több testrész,"jelentésteli kontextus, felnőtt stílus",S7; S12
A076,3–6 hó,Nagymozgás,Hason játék könyöktámaszban érdekes tárggyal,benti,2 perc,"puha szőnyeg, 1 játék","Tedd elé az érdekes tárgyat, ne túl messzire; legyen rövid és sikeres.","Ne tolmácsold túl: figyeld, mit próbál, és csak annyit segíts, hogy folytatni tudja.",mellkason hason,játék kissé oldalra,"mozgás-kogníció, érdeklődés",S9; S19
A077,3–6 hó,Finommotorika,Nyúlás és elérés egy tárgyért,benti,1 perc,könnyű csörgő/kendő,"Tartsd úgy, hogy lássa és megpróbáljon érte nyúlni.",Hagyd próbálkozni; ne add rögtön kézbe.,közelebb tartod,kicsit oldalra vagy magasabbra tartod,"önálló próbálkozás, mozgás",S13; S18
A078,3–6 hó,Szenzoros,Textúrakendők felfedezése,benti,2 perc,különböző tiszta textíliák,"Adj 2-3 biztonságos textúrát: puha, érdesebb, selymes.","A szájba vétel életkori sajátosság lehet, ezért csak biztonságos, tiszta tárgyat adj.",egy kendő,két textúra összehasonlítása,"szenzoros tapasztalat, választás",S1; S12
A079,3–6 hó,Nyelv/kapcsolat,Hangváltós beszélgetés: baba hangjára válasz,benti/kinti,0 perc,nincs,"Ha hangot ad, válaszolj hasonló ritmusban, majd várj.","A lényeg a turn-taking: te jössz, én jövök.",mosollyal válasz,hangmagasság/játékos ismétlés,"társas tanulás, felnőtt stílus",S12; S13
A080,3–6 hó,Könyv/figyelem,Egyképes könyv vagy képkártya rövid nézegetése,benti,0 perc,1-2 egyszerű kép,"Csak 1-2 képet nézzetek, rövid megnevezéssel.","Ne lapozz túl gyorsan; azt nézd, mire figyel.",csak egy kép,ugyanaz a tárgy valóságban is,"közös figyelem, érdeklődés",S7; S8
A081,6–9 hó,Tárgyállandóság,Kukucs kendővel,benti,0 perc,kendő,"Takard el az arcod vagy játékot, majd mutasd elő újra.","Legyen lassú és előrejelezhető; hagyd, hogy ő is próbálja.",arc takarása,játék elrejtése részben,"ismétlés, érdeklődés",S2; S12
A082,6–9 hó,Finommotorika,Tárgy átadása egyik kézből a másikba,benti,1 perc,könnyű játék,"Adj egy könnyű tárgyat, figyeld, hogyan forgatja és adja át.",Ne vedd ki a kezéből; hagyd felfedezni.,nagyobb tárgy,"kétféle tárgy, egyik kemény másik puha",kézi manipuláció,S18; S1
A083,6–9 hó,Nagymozgás,Kúszás-mászás hívogatása biztonságos térben,benti,5 perc,"szőnyeg, 1 motiváló tárgy","A kedvelt tárgyat tedd kicsit távolabb, de elérhető sikerélménnyel.","Ne húzd a testét; a környezetet rendezd úgy, hogy legyen oka mozdulni.",közelebb a tárgy,alacsony párna kerülőként,"prepared environment, mozgás",S9; S19
A084,6–9 hó,Pakolás,Tárgyak ki-be pakolása kosárból,benti,2 perc,"kosár, 3-5 nagy tárgy","Mutasd a ki-be mozdulatot, aztán hagyd ismételni.",Az ismétlés itt maga a tanulás.,2 tárgy,különböző méretű tárgyak,"rend, ismétlés, manipuláció",S1; S13
A085,6–9 hó,Nyelv,Hol van? rámutatós játék családi képekkel,benti,3 perc,2-3 családi fotó,"Mutass képre: hol van anya/apa? Ha nézi, nevezd meg.",Ne várj teljesítményt; a közös figyelem fontos.,egy kép,két kép közül választás,"közös figyelem, érdeklődés",S7; S12
A086,9–12 hó,Finommotorika,Nagyobb falatok/adagok csippentése biztonságosan,benti,5 perc,biztonságos ételdarabok,"Étkezésnél hagyd, hogy önállóan próbáljon felvenni megfelelő méretű falatot.",A biztonság és felügyelet elsődleges; nem fejlesztési feladatként tálald.,nagyobb darab,"kisebb, de biztonságos darab","practical life, önállóság",S18; S12
A087,9–12 hó,Tárgyállandóság,Dobozba rejtett tárgy keresése,benti,2 perc,"doboz, kedvelt játék","Láthatóan tedd be a játékot, majd kérdezd: hol van?","Várj, mielőtt segítesz; részleges fedéssel kezdd.",félig takarva,"teljesen dobozban, két doboz közül","problémamegoldás, önellenőrzés",S2; S13
A088,9–12 hó,Nagymozgás,Felállás-leülés biztonságos bútor mellett,benti,0 perc,stabil bútor,"Biztosíts stabil környezetet, ne siettesd a járást.","A cél a saját erőből végzett próbálkozás, nem a kézen húzva járatás.",alacsonyabb támasz,oldalazás motiváló tárggyal,"mozgás, autonómia",S9; S19
A089,9–12 hó,Nyelv/utasítás,Add ide / tedd bele egyszerű kérések,benti/kinti,0 perc,mindennapi tárgyak,Valós helyzetben kérj egy egyszerű dolgot: add ide a labdát.,"Gesztussal segíts, ne ismételd túl sokszor.",mutatással együtt,kétlépéses: add ide és tedd bele,"jelentésteli kontextus, scaffolding",S12; S13
