id,topic,title,authors,type,takeaway,url,doi
S1,Montessori szemlélet,Montessori: The Science Behind the Genius,"Angeline Stoll Lillard, 3rd ed., 2016/2017",könyv / feltöltött PDF,"Mozgás, választás, végrehajtó funkciók, érdeklődés, jelentésteli kontextus, felnőtt interakció és rendezett környezet mint otthoni szűrő.",,feltöltött PDF
S2,Guided play,Can guidance during play enhance children's learning and development in educational contexts?,"Skene et al., 2022",systematic review & meta-analysis,A finoman vezetett játék jó híd a szabad játék és a direkt tanítás között.,https://onlinelibrary.wiley.com/doi/10.1111/cdev.13730,10.1111/cdev.13730
S3,Otthoni matematika,The Home Math Environment and Math Achievement: A Meta-Analysis,"Daucourt et al., 2021",preregistered meta-analysis,Az otthoni matematikai környezet és a gyerek matematikai képességei között pozitív kapcsolatot találtak.,https://pubmed.ncbi.nlm.nih.gov/34843299/,10.1037/dev0001208
S4,Otthoni matekos tevékenységek,Do home mathematical activities relate to early mathematical skills?,"James-Brabham et al., 2024/2025",systematic review & meta-analysis,"A puszta gyakoriság csak kis kapcsolatot mutat; a minőség, illeszkedés és kontextus fontos.",https://pubmed.ncbi.nlm.nih.gov/39359150/,10.1111/cdev.14162
S5,Lineáris számtársas,Playing linear numerical board games promotes low-income children's numerical development,"Siegler & Ramani, 2008",intervention study,A lineáris számpályás játékok segíthetik a számnagyság és számvonal megértését.,https://pubmed.ncbi.nlm.nih.gov/18801120/,10.1111/j.1467-7687.2008.00714.x
S6,Téri gondolkodás,Is Early Spatial Skills Training Effective? A Meta-Analysis,"Yang et al., 2020",meta-analysis,"0–8 éves korban a téri készségek fejleszthetők; építés, forma, térkép és kézi manipuláció jó irány.",https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2020.01938/full,10.3389/fpsyg.2020.01938
S7,Közös könyvnézegetés,The Impact of Shared Book Reading on Children's Language Skills,"Noble et al., 2019",meta-analysis,"A közös könyvolvasás pozitívan kapcsolódhat a nyelvi készségekhez, de a hatás a módszertől is függ.",https://www.mpi.nl/publications/item3165681/impact-shared-book-reading-childrens-language-skills-meta-analysis,10.1016/j.edurev.2019.100290
S8,Dialogikus olvasás,The story so far: A systematic review of the dialogic reading literature,"Pillinger & Vardy/Wood, 2022",systematic review,"A dialogikus olvasás több nyelvi és korai literacy kimenetben hasznos lehet, különösen 5 év alatt.",https://onlinelibrary.wiley.com/doi/10.1111/1467-9817.12407,10.1111/1467-9817.12407
S9,Mozgás,Effects of Physical Activity on Motor Skills and Cognitive Development in Early Childhood,"Zeng et al., 2017",systematic review,Óvodáskorban a fizikai aktivitásprogramok támogathatják a motoros és kognitív fejlődést.,https://pmc.ncbi.nlm.nih.gov/articles/PMC5745693/,10.1155/2017/2760716
S10,Végrehajtó funkciók fejlesztése,Interventions Shown to Aid Executive Function Development in Children 4 to 12 Years Old,"Diamond & Lee, 2011",review,"Az EF-fejlődést motiváló, fokozatosan nehezedő, ismételt tevékenységek támogathatják.",https://pubmed.ncbi.nlm.nih.gov/21852486/,10.1126/science.1204529
S11,Végrehajtó funkciók alapjai,Executive Functions,"Diamond, 2013",review,"Fő EF-ek: gátlás/önkontroll, munkamemória, kognitív flexibilitás.",https://pubmed.ncbi.nlm.nih.gov/23020641/,10.1146/annurev-psych-113011-143750
S12,Szülői interakció,Parenting interventions to promote early child development in the first three years of life,"Jeong et al., 2021",systematic review & meta-analysis,"A korai parenting intervenciók javíthatják a kognitív, nyelvi, motoros, szocioemocionális fejlődést és a parent–child interakciót.",https://journals.plos.org/plosmedicine/article?id=10.1371%2Fjournal.pmed.1003602,10.1371/journal.pmed.1003602
S13,Scaffolding,Parent–child learning interactions: A review of the literature on scaffolding,"Mermelshtine, 2017",literature review,"A felnőtt támogatása igazodjon a gyerek aktuális szintjéhez, majd fokozatosan húzódjon vissza.",https://pubmed.ncbi.nlm.nih.gov/28220477/,PMID: 28220477
S14,Montessori kimenetek,Montessori Preschool Elevates and Equalizes Child Outcomes,"Lillard et al., 2017",longitudinal lottery-based study,Lottery-based mintában a Montessori csoport több kognitív és szocioemocionális kimenetben jobban fejlődött óvodáskorban.,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2017.01783/full,10.3389/fpsyg.2017.01783
S15,Montessori meta-analízis,Montessori education's impact on academic and nonacademic outcomes,"Randolph et al., 2023",systematic review,"A Montessori oktatás összességében pozitív kimeneteket jelezhet, de implementációs minőség fontos.",https://pubmed.ncbi.nlm.nih.gov/37554998/,10.1002/cl2.1330
S16,Montessori RCT,A national randomized controlled trial of the impact of public Montessori preschool,"Lillard et al., 2025",randomized controlled trial,Friss RCT több kindergarten-végi kimenetben előnyt talált a Montessori program javára.,https://www.pnas.org/doi/10.1073/pnas.2506130122,10.1073/pnas.2506130122
S17,Mintha-játék óvatosság,The impact of pretend play on children's development,"Lillard et al., 2013",critical review,"A pretend play értékes lehet, de nem egyértelmű, hogy önmagában specifikus oka a fejlődésnek.",https://pubmed.ncbi.nlm.nih.gov/22905949/,PMID: 22905949
S18,Finommotorika,Research progress on the relationship between fine motor skills and academic ability in children,"Li et al., 2025",systematic review & meta-analysis,"A preschool finommotorika és tanulási kimenetek között pozitív kapcsolatot találtak; óvatos, nem okozati értelmezés.",https://pubmed.ncbi.nlm.nih.gov/39850871/,10.3389/fspor.2024.1386967
S19,Csecsemőkori hason fekvés,Tummy Time and Infant Health Outcomes: A Systematic Review,"Hewitt et al., 2020",systematic review,"A tummy time pozitívan társult a nagymozgásos és teljes fejlődéssel, illetve bizonyos fejforma-kimenetekkel.",https://pubmed.ncbi.nlm.nih.gov/32371428/,10.1542/peds.2019-2168
S20,Temperamentum és személyiség,"Personality differences in childhood and adolescence: Measurement, development, and consequences","Shiner & Caspi, 2003",review,"A gyermekkori személyiség/temperamentum mérhető, de fejlődő rendszer; nem címkézésre, hanem illeszkedésre érdemes használni.",https://pubmed.ncbi.nlm.nih.gov/12553411/,10.1111/1469-7610.00101
S21,Érzelemszabályozás,Emotion-Related Self-Regulation and Its Relation to Children’s Maladjustment,"Eisenberg, Spinrad & Eggum, 2010",review,"Az érzelemhez kapcsolódó önszabályozás gyorsan fejlődik a korai években, és sok későbbi társas/viselkedéses kimenethez kapcsolódik.",https://pmc.ncbi.nlm.nih.gov/articles/PMC3018741/,10.1146/annurev.clinpsy.121208.131208
S22,Ko-reguláció,Conceptualizing Emotion Regulation and Coregulation as Family-Level Phenomena,"Paley & Hajal, 2022",review,A kisgyerek önszabályozása először a felnőtt ko-regulációján keresztül épül; a cél nem a magára hagyott megnyugvás.,https://pmc.ncbi.nlm.nih.gov/articles/PMC8801237/,10.1016/j.copsyc.2021.11.008
S23,Kötődés,The Significance of Attachment Security for Children’s Social Competence with Peers: A Meta-Analytic Study,"Groh et al., 2014",meta-analysis,A korai kötődési biztonság összefügg a későbbi gyermekkori kortárskapcsolati kompetenciával.,https://pmc.ncbi.nlm.nih.gov/articles/PMC4021853/,10.1080/14616734.2014.883636
S24,Szocioemocionális kompetencia,Social-emotional learning profiles of preschoolers’ early school success,"Denham et al., 2012",empirical study / review context,Az érzelemismeret és szocioemocionális készségek a társas működés és az iskolakezdés alapvető komponensei.,https://pmc.ncbi.nlm.nih.gov/articles/PMC3294380/,10.1016/j.ecresq.2011.10.001
S25,Proszociális fejlődés,Parenting and prosocial behaviors: A meta-analysis,"Wong et al., 2021",meta-analysis,"Az autoritatív/meleg, támogató szülői minták pozitívan kapcsolódnak a proszociális viselkedésekhez.",https://onlinelibrary.wiley.com/doi/10.1111/sode.12481,10.1111/sode.12481
